simID	TRIALS	TIME	
0	4.0	0	
1	4.0	0	
2	3.0	0	
3	0.0	0	
4	1.0	0	
5	1.0	0	
6	0.0	0	
7	1.0	0	
8	2.0	0	
9	4.0	0	
10	4.0	0	
11	1.0	0	
12	0.0	0	
13	2.0	0	
14	3.0	0	
15	4.0	0	
16	2.0	0	
17	1.0	0	
18	2.0	0	
19	2.0	0	
20	2.0	0	
21	0.0	0	
22	3.0	0	
23	3.0	0	
24	0.0	0	
25	3.0	0	
26	4.0	0	
27	2.0	0	
28	0.0	0	
29	1.0	0	
30	5.0	0	
31	4.0	0	
32	2.0	0	
33	1.0	0	
34	2.0	0	
35	3.0	0	
36	3.0	0	
37	4.0	0	
38	1.0	0	
39	2.0	0	
40	0.0	0	
41	2.0	0	
42	0.0	0	
43	0.0	0	
44	4.0	0	
45	3.0	0	
46	1.0	0	
47	3.0	0	
48	0.0	0	
49	4.0	0	
50	0.0	0	
51	2.0	0	
52	0.0	0	
53	4.0	0	
54	3.0	0	
55	5.0	0	
56	2.0	0	
57	0.0	0	
58	2.0	0	
59	0.0	0	
0	1.0	1	
1	0.0	1	
2	0.0	1	
3	4.0	1	
4	1.0	1	
5	0.0	1	
6	2.0	1	
7	3.0	1	
8	0.0	1	
9	0.0	1	
10	2.0	1	
11	1.0	1	
12	0.0	1	
13	1.0	1	
14	2.0	1	
15	1.0	1	
16	0.0	1	
17	0.0	1	
18	0.0	1	
19	0.0	1	
20	0.0	1	
21	2.0	1	
22	1.0	1	
23	0.0	1	
24	0.0	1	
25	1.0	1	
26	0.0	1	
27	0.0	1	
28	4.0	1	
29	1.0	1	
30	2.0	1	
31	0.0	1	
32	3.0	1	
33	2.0	1	
34	0.0	1	
35	1.0	1	
36	0.0	1	
37	0.0	1	
38	1.0	1	
39	1.0	1	
40	2.0	1	
41	2.0	1	
42	0.0	1	
43	0.0	1	
44	2.0	1	
45	1.0	1	
46	1.0	1	
47	0.0	1	
48	3.0	1	
49	4.0	1	
50	4.0	1	
51	3.0	1	
52	3.0	1	
53	0.0	1	
54	0.0	1	
55	4.0	1	
56	0.0	1	
57	0.0	1	
58	2.0	1	
59	0.0	1	
0	1.0	2	
1	0.0	2	
2	0.0	2	
3	1.0	2	
4	2.0	2	
5	1.0	2	
6	0.0	2	
7	0.0	2	
8	0.0	2	
9	0.0	2	
10	1.0	2	
11	0.0	2	
12	1.0	2	
13	0.0	2	
14	0.0	2	
15	0.0	2	
16	2.0	2	
17	1.0	2	
18	0.0	2	
19	2.0	2	
20	0.0	2	
21	0.0	2	
22	0.0	2	
23	0.0	2	
24	1.0	2	
25	0.0	2	
26	0.0	2	
27	0.0	2	
28	2.0	2	
29	1.0	2	
30	0.0	2	
31	0.0	2	
32	0.0	2	
33	1.0	2	
34	0.0	2	
35	1.0	2	
36	2.0	2	
37	0.0	2	
38	1.0	2	
39	0.0	2	
40	3.0	2	
41	3.0	2	
42	0.0	2	
43	2.0	2	
44	0.0	2	
45	0.0	2	
46	2.0	2	
47	3.0	2	
48	1.0	2	
49	0.0	2	
50	0.0	2	
51	0.0	2	
52	1.0	2	
53	1.0	2	
54	1.0	2	
55	0.0	2	
56	1.0	2	
57	0.0	2	
58	1.0	2	
59	1.0	2	
